WAGP,POVPIP,SEMP,income_group,income_source_count,poverty_band,has_wage_income,has_self_employment,ESR,COW,WKL,OCCP_2digit,INDP_2digit,employment_status_simple,employer_type,AGEP,SEX,MAR,MIG,NATIVITY,RAC1P,HISP,age_group,marital_status_simple,SCHL,SCH,education_level,currently_enrolled,DIS,DEAR,DEYE,DPHY,has_any_disability,STATE,PUMA,REGION,DIVISION,medicaid_only
0.0,379.0,0.0,,0,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,21,1,5,1.0,1,1,1,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,300,2,4,0
6100.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,40,86,Not_in_labor_force,Private,18,1,5,3.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
0.0,379.0,0.0,,1,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,19,1,5,1.0,1,1,1,18-25,Never_married,15.0,2.0,Less_than_HS,1,1,2,2,2.0,1,38,300,2,4,1
5000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,25,78,Employed,Private,19,2,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
15000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,62,07,Not_in_labor_force,Private,19,2,5,3.0,1,1,1,18-25,Never_married,16.0,2.0,HS_diploma,1,2,2,2,2.0,0,38,600,2,4,0
10800.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,03,86,Not_in_labor_force,Private,50,1,5,3.0,1,1,1,46-55,Never_married,20.0,1.0,Some_college,0,2,2,2,2.0,0,38,300,2,4,0
0.0,176.0,27500.0,,1,138-200%,0,1,1.0,6.0,1.0,62,01,Employed,Self_employed,33,1,1,1.0,1,1,1,26-35,Married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,400,2,4,0
1000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,72,87,Not_in_labor_force,Private,23,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
1500.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,41,86,Not_in_labor_force,Private,19,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
1000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,13,86,Not_in_labor_force,Private,18,1,5,3.0,1,1,1,18-25,Never_married,16.0,2.0,HS_diploma,1,2,2,2,2.0,0,38,400,2,4,0
