Component,Explained_Variance,Cumulative_Variance
317,0.0014646940939453724,0.8292330082553199
318,0.0014612253647925714,0.8306942336201124
319,0.0014591123458357184,0.8321533459659481
320,0.0014497039977251962,0.8336030499636733
321,0.0014461681883599397,0.8350492181520333
322,0.0014429759994571353,0.8364921941514903
323,0.001441921677218308,0.8379341158287087
324,0.0014345507913469569,0.8393686666200556
325,0.0014257620082878428,0.8407944286283434
326,0.001423093379413091,0.8422175220077565
327,0.0014195183352338472,0.8436370403429903
328,0.0014149843804686726,0.845052024723459
329,0.001411117962157356,0.8464631426856163
330,0.0014049043347463932,0.8478680470203627
331,0.0013980968275248433,0.8492661438478876
332,0.0013947833539159245,0.8506609272018035
333,0.0013902178581178643,0.8520511450599214
334,0.0013874652949740407,0.8534386103548954
335,0.0013786726712743242,0.8548172830261698
336,0.0013714325307157555,0.8561887155568856
337,0.0013674573432869497,0.8575561729001725
338,0.001363850638351625,0.8589200235385241
339,0.0013626381341508029,0.860282661672675
340,0.0013546656163312468,0.8616373272890062
341,0.001351503639984418,0.8629888309289906
342,0.001344313785609203,0.8643331447145998
