income_group,poverty_band,has_wage_income,has_self_employment,employment_status_simple,employer_type,AGEP,SEX,MAR,age_group,marital_status_simple,education_level,currently_enrolled,STATE,PUMA,REGION,DIVISION,medicaid_only
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,55,1,5,46-55,Never_married,Less_than_HS,0,38,200,2,4,1
Very_Low,200-400%,1,0,Employed,Government,22,1,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Very_Low,200-400%,1,1,Not_in_labor_force,Private,18,2,5,18-25,Never_married,HS_diploma,1,38,400,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,43,2,5,36-45,Never_married,Less_than_HS,0,38,600,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,20,2,5,18-25,Never_married,HS_diploma,0,38,200,2,4,0
,>400%,0,1,Employed,Self_employed,27,1,5,26-35,Never_married,Less_than_HS,0,38,400,2,4,0
Low,138-200%,1,0,Employed,Unpaid,51,1,1,46-55,Married,Less_than_HS,0,38,600,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,18,2,5,18-25,Never_married,HS_diploma,1,38,400,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,21,2,5,18-25,Never_married,HS_diploma,1,38,400,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,55,1,5,46-55,Never_married,Less_than_HS,0,38,400,2,4,1
Very_Low,200-400%,1,0,Employed,Private,22,1,5,18-25,Never_married,Some_college,1,38,300,2,4,0
